,Judul,Lokasi,Kamar,Toilet,Luas,Harga
159,Green Valley Residence,"1 Jl. Jatihandap Bandung, Antapani, Bandung, Jawa Barat",3 ,2 ,60 m²,820 jt
160,Jual Rumah di Summarecon Bandung Cluster Flora,"Cluster Flora, Gedebage, Bandung, Jawa Barat",3 ,2 ,104 m²,"2,08650807 M"
161,Dijual Rumah Minimalis Modern di Freya Summarecon Bandung,"Gedebage, Bandung, Jawa Barat",4 ,2 ,104 m²,"1,9 M"
162,Rumah minimalis modern lux di singgasana pradana bandung,"Cluster singgasana, Singgasana Pradana, Bandung, Jawa Barat",5 ,4 ,300 m²,"4,7 M"
163,Rumah Dijual Sayap Buahbatu Bandung Lokasi Strategis,"Buahbatu, Bandung, Jawa Barat",4 ,2 ,120 m²,"2,3 M"
164,Rumah Dijual Di Cluster Btari Summarecon Bandung,"Gedebage, Bandung, Jawa Barat",5 ,4 ,261 m²,"4,775 M"
165,"Rumah Baru Modern Minimalis, Suryalaya, Buahbatu","Jalan Suryalaya, Buahbatu, Lengkong, Bandung, Jawa Barat",3 ,3 ,136 m²,"1,975 M"
166,Puri Dago Mas,"Jl. Jakarta, Antapani, Bandung, Antapani, Bandung, Jawa Barat",3 ,2 ,90 m²,"1,25 M"
167,The Billabong Soeta,". Jl. Soekarno Hatta No. 704 A, Babakan Penghulu, Cinambo, Bandung, Jawa Barat",3 ,2 ,80 m²,890 jt
168,Jual Rumah Baru Harga Terjangkau di Setraduta Pasteur Bandung,"Setra Duta, Bandung, Jawa Barat",5 ,4 ,160 m²,"2,85 M"
169,Jual Rumah Podomoro Siap Huni Ready Stock harga di bawah pasaran,"Buahbatu, Bandung, Jawa Barat",4 ,4 ,127 m²,"2,575 M"
170,Jual Rumah Baru di Gegerkalong Setiabudi Bandung,"Setiabudi, Bandung, Jawa Barat",3 ,3 ,150 m²,"1,5 M"
171,HARGA PROMO! HANYA 7 UNIT SINDANGLAYA FREE DESIGN,"Sindanglaya, Cibiru, Bandung, Jawa Barat",2 ,2 ,36 m²,450 jt
172,RUMAH BARU JALAN GOLF DEKAT SMAN 24,"golf raya, Arcamanik, Bandung, Jawa Barat",2 ,2 ,50 m²,550 jt
173,RUMAH BARU 2 LANTAI ALL IN DEKAT SMAN 24,"Ujung Berung, Bandung, Jawa Barat",2 ,2 ,50 m²,550 jt
